Cell line Name,Model ID, COSMIC ID, TCGA Classfication, Tissue,Tissue sub-type, Datasets, number of drugs
"22RV1","SIDM00499","924100","PRAD","urogenital_system","prostate","GDSC1","353"
"22RV1","SIDM00499","924100","PRAD","urogenital_system","prostate","GDSC2","282"
"23132-87","SIDM00980","910924","STAD","digestive_system","stomach","GDSC1","344"
"23132-87","SIDM00980","910924","STAD","digestive_system","stomach","GDSC2","281"
"42-MG-BA","SIDM00982","687561","GBM","nervous_system","glioma","GDSC1","345"
"42-MG-BA","SIDM00982","687561","GBM","nervous_system","glioma","GDSC2","281"
"451Lu","SIDM01240","1287706","SKCM","skin","melanoma","GDSC1","352"
"451Lu","SIDM01240","1287706","SKCM","skin","melanoma","GDSC2","180"
"5637","SIDM00807","687452","BLCA","urogenital_system","bladder","GDSC1","347"
"5637","SIDM00807","687452","BLCA","urogenital_system","bladder","GDSC2","279"
"639-V","SIDM00999","906798","BLCA","urogenital_system","bladder","GDSC1","353"
"639-V","SIDM00999","906798","BLCA","urogenital_system","bladder","GDSC2","280"
"647-V","SIDM00983","906797","BLCA","urogenital_system","bladder","GDSC1","347"
"647-V","SIDM00983","906797","BLCA","urogenital_system","bladder","GDSC2","281"
"697","SIDM01076","906800","UNCLASSIFIED","blood","lymphoblastic_leukemia","GDSC1","384"
"697","SIDM01076","906800","UNCLASSIFIED","blood","lymphoblastic_leukemia","GDSC2","280"
"769-P","SIDM00803","910922","KIRC","kidney","kidney","GDSC1","340"
"769-P","SIDM00803","910922","KIRC","kidney","kidney","GDSC2","282"
"786-0","SIDM00125","905947","KIRC","kidney","kidney","GDSC1","346"
"786-0","SIDM00125","905947","KIRC","kidney","kidney","GDSC2","281"
"8-MG-BA","SIDM00998","687562","GBM","nervous_system","glioma","GDSC1","394"
"8-MG-BA","SIDM00998","687562","GBM","nervous_system","glioma","GDSC2","280"
"8305C","SIDM00997","906795","THCA","thyroid","thyroid","GDSC1","353"
"8305C","SIDM00997","906795","THCA","thyroid","thyroid","GDSC2","282"
"8505C","SIDM00996","924102","THCA","thyroid","thyroid","GDSC1","341"
"8505C","SIDM00996","924102","THCA","thyroid","thyroid","GDSC2","281"
"A101D","SIDM00801","910921","SKCM","skin","melanoma","GDSC1","388"
"A101D","SIDM00801","910921","SKCM","skin","melanoma","GDSC2","281"
"A172","SIDM00799","687563","GBM","nervous_system","glioma","GDSC1","336"
"A172","SIDM00799","687563","GBM","nervous_system","glioma","GDSC2","281"
"A204","SIDM00798","910784","UNCLASSIFIED","soft_tissue","rhabdomyosarcoma","GDSC1","347"
"A204","SIDM00798","910784","UNCLASSIFIED","soft_tissue","rhabdomyosarcoma","GDSC2","281"
"A2058","SIDM00797","906792","SKCM","skin","melanoma","GDSC1","291"
"A2058","SIDM00797","906792","SKCM","skin","melanoma","GDSC2","281"
"A253","SIDM00796","906794","UNCLASSIFIED","aero_digestive_tract","head_and_neck","GDSC1","395"
