,Drug_ID,Cell Line_ID,Y
0,Camptothecin,HCC1954,-0.251083
1,Camptothecin,HCC1143,1.343315
2,Camptothecin,HCC1187,1.736985
3,Camptothecin,HCC1395,-2.309078
4,Camptothecin,HCC1599,-3.106684
5,Camptothecin,HCC1937,0.224916
6,Camptothecin,HCC2157,-1.728301
7,Camptothecin,HCC2218,1.054417
8,Camptothecin,HCC38,-2.078181
9,Camptothecin,HCT-116,-2.985721
10,Camptothecin,HCT-15,-2.869888
11,Camptothecin,HT-29,-2.143997
12,Camptothecin,T47D,-0.906245
13,Camptothecin,MCF7,-1.12617
14,Camptothecin,BT-549,-1.236487
15,Camptothecin,Hs-578-T,-0.287232
16,Camptothecin,MDA-MB-231,-2.227156
17,Camptothecin,COLO-205,-1.044537
18,Camptothecin,SW620,-3.092858
19,Camptothecin,HCC2998,-1.265275
20,Camptothecin,KM12,-2.0952
21,Camptothecin,BT-20,-2.26343
22,Camptothecin,COLO-824,-0.043674
23,Camptothecin,CAL-120,-1.152528
24,Camptothecin,DU-4475,-4.271105
25,Camptothecin,EFM-19,0.169891
26,Camptothecin,EVSA-T,-1.268542
27,Camptothecin,HCC1419,0.84632
28,Camptothecin,HCC1569,0.104913
29,Camptothecin,HCC1806,-3.017804
30,Camptothecin,HCC70,0.121553
31,Camptothecin,HT55,-0.374586
32,Camptothecin,HT-115,-1.601612
33,Camptothecin,GP5d,-3.381439
34,Camptothecin,LoVo,-3.221495
35,Camptothecin,LS-123,0.006045
36,Camptothecin,LS-411N,-1.146271
37,Camptothecin,LS-513,-2.945073
38,Camptothecin,MDA-MB-361,-0.959321
39,Camptothecin,MDA-MB-453,-2.014633
40,Camptothecin,MDA-MB-468,-2.55424
41,Camptothecin,MRK-nu-1,-2.243342
42,Camptothecin,NCI-H747,-0.455879
43,Camptothecin,NCI-H716,-0.072106
44,Camptothecin,OCUB-M,-1.967764
45,Camptothecin,RCM-1,-1.783233
46,Camptothecin,RKO,-3.632296
47,Camptothecin,SK-CO-1,-5.331648
48,Camptothecin,SNU-C2B,0.067435
49,Camptothecin,SW1417,0.678112
50,Camptothecin,SW1463,-2.143157
51,Camptothecin,SW48,-3.784746
52,Camptothecin,SW837,-0.862671
53,Camptothecin,SW948,-2.523671
54,Camptothecin,T84,-2.222119
55,Camptothecin,UACC-893,-0.524717
56,Camptothecin,ZR-75-30,2.638266
57,Camptothecin,CW-2,-2.520942
58,Camptothecin,COLO-320-HSR,-1.622168
59,Camptothecin,COLO-678,4.132475
60,Camptothecin,C2BBe1,0.503885
61,Camptothecin,AU565,-3.140216
62,Camptothecin,CAL-85-1,-1.17757
63,Camptothecin,SNU-C1,-0.237601
64,Camptothecin,CAL-51,-3.521093
65,Camptothecin,MFM-223,2.776031
66,Camptothecin,LS-1034,-1.050013
67,Camptothecin,CAL-148,-4.684976
68,Camptothecin,CaR-1,-2.761606
