,Y
Dabrafenib_SW1710,5.419252
Lapatinib_TGW,3.301479
Ruxolitinib_GCT,3.81754
MN-64_EW-24,5.871297
Sapitinib_NCI-H1869,2.456632
GSK2606414_AM-38,3.221463
Savolitinib_EW-7,1.877503
OTX015_SU-DHL-10,-1.450333
LGK974_VMRC-RCZ,6.262217
GSK2578215A_BV-173,4.273013
Afuresertib_NCI-H1651,4.20722
WIKI4_HCC1937,3.09485
I-BRD9_SCC-9,4.460555
Taselisib_BxPC-3,1.777839
EPZ5676_COLO-205,5.552752
Picolinici-acid_KP-N-YN,4.281128
Nilotinib_YH-13,3.09066
Telomerase Inhibitor IX_KARPAS-1106P,-0.465674
CZC24832_HCT-116,4.384836
Erlotinib_EW-3,3.65429
Docetaxel_SCC-15,-4.167234
Entinostat_PL4,1.986308
Afuresertib_BL-41,1.625497
Pevonedistat_SW756,2.794779
VE-822_TK,-0.535827
Lapatinib_C32,5.760335
Ibrutinib_BFTC-909,5.027236
Camptothecin_EFM-192A,1.431538
Dactolisib_IHH-4,-1.542675
OF-1_NCI-H2405,5.333124
NVP-ADW742_JHH-7,5.105359
MK-2206_RERF-LC-KJ,2.958657
Savolitinib_22RV1,3.258009
AMG-319_NCI-H810,4.865826
5-Fluorouracil_SN12C,6.600829
GSK2578215A_HC-1,4.422958
EPZ5676_NCI-H1944,6.532895
Obatoclax Mesylate_PA-TU-8988T,2.198077
WIKI4_HDQ-P1,1.960568
CZC24832_SNG-M,4.554228
Dactolisib_JIMT-1,-2.182827
ABT737_DMS-114,3.078469
AZD4547_SNU-16,-4.258326
PFI3_SNU-407,4.895115
VE-822_LOUCY,1.294495
Gefitinib_SUP-HD1,3.259475
PD173074_DEL,1.686985
MK-2206_SW1463,3.797525
Pyridostatin_PEO1,5.81708
VX-11e_PC-3_[JPC-3],4.984389
AZD4547_8505C,2.775515
PD173074_EW-7,3.737379
Obatoclax Mesylate_NCI-H526,1.205388
MN-64_OCI-AML3,4.921821
Cyclophosphamide_DU-4475,4.006
ABT737_SHP-77,-0.182731
Venetoclax_LU-135,2.425551
Niraparib_A2058,2.701349
GSK1904529A_HCC1419,3.427893
MIRA-1_TGW,4.729566
Entospletinib_SF539,1.902443
Entospletinib_NCI-H2722,6.153025
Wee1 Inhibitor_GP5d,1.337284
LJI308_CS1,5.870276
Linsitinib_LB771-HNC,1.824385
Erlotinib_NCI-H1975,1.807311
AGI-6780_SUP-M2,1.751888
Tamoxifen_CAPAN-1,3.85295
Paclitaxel_NCI-H661,0.135547
GSK591_HOS,4.022572
Palbociclib_NCI-H1573,5.096242
GNE-317_MDA-MB-436,2.033812
Wee1 Inhibitor_PC-3_[JPC-3],2.703184
AGI-5198_HSC-3,5.381267
LGK974_YH-13,4.274146
LY2109761_K5,4.488438
AGI-5198_NCI-H358,5.773682
KRAS (G12C) Inhibitor-12_PANC-10-05,7.168761
Erlotinib_SJRH30,1.601096
GDC0810_A172,4.917977
MK-1775_HCC2157,1.537185
GSK2606414_NCI-H2369,4.730623
Dabrafenib_JHH-6,5.442269
GSK2578215A_HSC-2,4.141385
VE821_Mewo,3.253256
Afuresertib_HT-1197,1.186219
Camptothecin_CHP-212,-3.85745
KRAS (G12C) Inhibitor-12_NCI-H2722,7.025846
Ipatasertib_AsPC-1,5.250492
AZ960_SNU-5,4.322498
AZD6738_647-V,2.133896
PD0325901_NCI-H2810,1.5379
Leflunomide_MOLT-13,4.071777
P22077_AMO-1,4.01652
Olaparib_DG-75,5.227622
Ipatasertib_TGBC11TKB,4.258967
Docetaxel_ST486,-6.002959
AZD3759_IST-MES1,3.151404
Navitoclax_SW872,4.915993
Bortezomib_NCI-H3118,-4.866415
VE-822_WM-115,4.812416
