Cell Line_ID,Cell Line,Tissue,Tissue sub-type,Count,Mean_Y, Datasets
MDA-MB-157,"[ 5.50020891  3.10477592 10.91037142 ...  9.78043504  3.33850034
  7.74849793]",breast,breast,136,3.1267553161764705,GDSC2
CAMA-1,"[ 6.90040711  2.72616293  9.57820681 ... 10.13461178  3.17424902
  8.29389875]",breast,breast,136,2.595223551470588,GDSC2
MDA-MB-231,"[ 7.78398332  2.84512339 10.04780926 ...  9.16606774  3.23834228
  6.44363805]",breast,breast,136,2.5279915661764707,GDSC2
MDA-MB-415,"[ 6.3918087   2.84384587 10.27915458 ...  9.42601253  2.93260725
  6.51715468]",breast,breast,136,2.4630534485294118,GDSC2
HCC38,"[ 7.45295425  2.88491739 10.17332196 ...  9.29355707  3.14975805
  6.93584379]",breast,breast,136,3.5549956838235297,GDSC2
HCC70,[8.43162544 2.75464925 9.31784675 ... 8.84636689 3.42294969 5.28985085],breast,breast,136,2.5578422573529416,GDSC2
BT-549,"[ 6.38314753  2.74662714 10.39228887 ...  9.33385385  3.438851
  6.25111365]",breast,breast,136,3.1173890661764707,GDSC2
MDA-MB-436,"[ 7.2772584   2.78390114 10.71661291 ...  9.51120102  3.82100943
  6.64471797]",breast,breast,136,3.7632726176470586,GDSC2
MDA-MB-453,[3.36671487 2.9577764  9.48441107 ... 8.87196819 3.299669   6.91163537],breast,breast,136,2.1201128897058825,GDSC2
EFM-19,"[ 7.68927837  2.93827866 10.92832203 ...  9.28311061  3.19075095
  8.93634606]",breast,breast,136,2.885032588235294,GDSC2
ZR-75-30,[7.11951468 3.0990112  9.69003382 ... 9.58118209 3.20902372 6.71566886],breast,breast,136,4.682035955882353,GDSC2
BT-474,"[ 5.17813061  3.01550596 10.54879172 ...  9.594467    3.34026394
 11.11499491]",breast,breast,135,3.906648866666667,GDSC2
BT-20,"[ 7.97162091  2.79252843 10.60120717 ...  9.23565399  3.29990966
  7.67657165]",breast,breast,135,2.8370869185185184,GDSC2
JIMT-1,"[ 8.44162845  2.63927625 11.46374178 ...  9.33219296  3.435411
 10.39204244]",breast,breast,135,3.1760474444444444,GDSC2
CAL-120,"[ 7.63202317  2.96458512 10.37955264 ...  9.98661583  3.07372353
  7.28473263]",breast,breast,135,4.412902362962963,GDSC2
CAL-51,[8.71233752 2.64350776 9.88073282 ... 9.11324296 2.91627439 7.05909221],breast,breast,135,2.32333177037037,GDSC2
CAL-85-1,"[ 9.56816729  2.71459091 10.12449464 ...  9.07095551  3.20729891
  7.91325036]",breast,breast,135,2.9383269037037034,GDSC2
MDA-MB-361,[3.2858794  2.91167212 9.88443024 ... 9.02264621 3.26953444 7.32206558],breast,breast,135,2.5657503555555556,GDSC2
MCF7,"[ 7.62501307  2.90665652 10.06423826 ...  9.0247357   3.04853519
  7.56736713]",breast,breast,135,3.3208546074074077,GDSC2
COLO-824,"[ 7.0070794   2.87516294 10.43602223 ...  9.26244084  3.11655269
  7.83826683]",breast,breast,135,2.5397274074074074,GDSC2
HCC1187,[9.01325254 2.95209299 9.34742862 ... 9.62819829 3.42564103 7.25114333],breast,breast,135,3.232072385185185,GDSC2
EVSA-T,"[ 7.41110593  3.09611843 10.05801013 ...  8.86316762  3.44237138
  7.35148062]",breast,breast,135,1.7402525111111111,GDSC2
MDA-MB-468,"[ 8.68080043  3.06767282 10.8432862  ... 11.35094213  3.20363023
  6.61840786]",breast,breast,135,1.9739800814814814,GDSC2
MFM-223,"[ 3.25761437  2.67984169 10.80366801 ...  9.63325163  3.45709633
  6.68470705]",breast,breast,135,3.477451022222222,GDSC2
MRK-nu-1,[6.31920159 2.6882362  9.58266169 ... 9.35066775 3.7476868  6.3172827 ],breast,breast,135,2.152138474074074,GDSC2
HCC1143,"[ 7.58193775  2.81430258 10.36332613 ...  9.36198356  3.22516832
  5.78795609]",breast,breast,135,3.3119388592592593,GDSC2
DU-4475,[3.06330937 2.87884175 9.4032984  ... 9.43755128 3.17689835 7.58009121],breast,breast,135,1.1587682444444445,GDSC2
Hs-578-T,[5.13886109 2.79351465 9.84582179 ... 8.98652751 3.15345726 7.13220809],breast,breast,135,2.1974969037037035,GDSC2
HCC1428,[7.2415121  2.77292141 9.72145021 ... 9.19625498 3.39127588 7.0945824 ],breast,breast,135,4.8651891851851845,GDSC2
HCC2157,"[ 7.9245104   2.82732461 10.20044926 ...  9.39248596  3.41224295
  7.21123695]",breast,breast,135,2.6416262592592594,GDSC2
HDQ-P1,[8.59362481 2.76542115 9.91057468 ... 9.68243985 3.45655572 8.72398077],breast,breast,135,2.524428748148148,GDSC2
T47D,"[ 7.34299642  2.81953519 10.78658225 ...  9.21779638  3.43758281
  7.08887208]",breast,breast,135,2.879240148148148,GDSC2
HCC1954,"[ 8.5482083   2.59960727 10.37599067 ...  8.7813745   3.2325967
  7.8858243 ]",breast,breast,135,2.886650925925926,GDSC2
OCUB-M,"[ 7.9980194   2.91802324 10.58541269 ...  9.77764895  3.16474409
  7.01733322]",breast,breast,134,1.7970407462686566,GDSC2
AU565,"[ 6.28045642  2.73409053 10.33225427 ...  8.86475008  3.06772671
 10.83913983]",breast,breast,134,2.4086678880597017,GDSC2
HCC1806,[8.05256735 2.65858757 9.94707317 ... 8.84005134 3.30360917 7.57167579],breast,breast,134,2.0872436791044775,GDSC2
HCC1937,"[ 8.78713107  2.67390194 10.48802695 ...  9.12202927  3.51649481
  7.65274806]",breast,breast,134,3.4532211492537312,GDSC2
EFM-192A,"[ 7.90969862  3.06650915 11.35137919 ...  9.21134809  3.48254962
  7.98958038]",breast,breast,133,3.5876888872180452,GDSC2
HCC1419,"[ 3.4559506   3.29018354 11.57015474 ...  9.5189995   3.24058392
  6.12475222]",breast,breast,133,3.2695651954887217,GDSC2
HCC1500,"[ 6.98164324  2.97295857 10.48254127 ...  9.55082299  3.54001336
  6.52383065]",breast,breast,129,3.0606391472868215,GDSC2
LoVo,[6.21830902 3.15389154 9.78812036 ... 9.53299082 3.33181519 6.65499441],digestive_system,large_intestine,125,2.082770568,GDSC2
SK-CO-1,"[ 7.47744587  2.71849093 11.13301369 ...  8.99007847  2.98889064
  7.52447119]",digestive_system,large_intestine,125,1.998888464,GDSC2
CaR-1,[7.96470506 2.87663737 9.6748152  ... 8.71088516 3.52928905 8.27055406],digestive_system,large_intestine,125,2.7570186239999996,GDSC2
CW-2,"[ 8.19035963  3.2811701  10.10821805 ...  8.8299117   3.17500182
  7.2339094 ]",digestive_system,large_intestine,125,2.849959544,GDSC2
RKO,"[ 7.04394435  2.9125977  10.59278755 ...  8.81038037  3.14323932
  7.88628782]",digestive_system,large_intestine,125,2.111026432,GDSC2
COLO-320-HSR,[7.66175352 3.42552865 9.9079645  ... 8.63969916 3.56091144 8.91256853],digestive_system,large_intestine,125,2.07384356,GDSC2
CCK-81,[8.31941716 3.11118349 9.64355846 ... 9.19152772 3.28600774 7.4847713 ],digestive_system,large_intestine,125,2.219909088,GDSC2
T84,[8.86143887 3.84010617 9.53641596 ... 8.8609233  3.70823455 6.55853025],digestive_system,large_intestine,125,2.816641008,GDSC2
HT-29,"[ 7.35612305  2.90590683 10.4041169  ...  8.5468646   3.18370818
  7.72067264]",digestive_system,large_intestine,125,2.513419656,GDSC2
HCT-15,[7.57843338 3.01071594 9.19725585 ... 8.55536034 3.36527908 7.94555486],digestive_system,large_intestine,125,2.10148072,GDSC2
HCT-116,"[ 7.57116462  2.78263253 10.14315226 ...  9.38119975  3.28328613
  7.53909241]",digestive_system,large_intestine,125,1.8186984400000001,GDSC2
LS-1034,"[ 8.95227045  2.96728408 10.22332905 ...  9.41921649  3.29206754
  7.46571017]",digestive_system,large_intestine,125,3.354889216,GDSC2
LS-123,"[ 9.04868005  2.63827071 10.34094875 ...  9.13243094  3.38627916
  8.1652891 ]",digestive_system,large_intestine,125,3.850849312,GDSC2
LS-180,[8.27341808 2.70283065 9.99112582 ... 8.14710669 3.33160115 7.23622167],digestive_system,large_intestine,125,3.001045368,GDSC2
RCM-1,"[ 9.04485838  2.9050234  10.36369682 ...  8.6932659   3.25402285
  6.88650566]",digestive_system,large_intestine,125,3.517207576,GDSC2
SW837,"[ 8.14104427  2.9114504  10.07244356 ...  8.12530345  3.19892752
  7.83402179]",digestive_system,large_intestine,125,3.567335024,GDSC2
SNU-C1,"[10.31086575  3.33443356 10.80680754 ...  8.77723775  3.30961103
  7.51390752]",digestive_system,large_intestine,125,3.3864666000000003,GDSC2
SNU-C2B,[6.87211546 2.64597044 9.66531657 ... 9.23521399 3.15246084 7.65221999],digestive_system,large_intestine,125,3.7947940239999998,GDSC2
SW620,"[ 7.82230674  3.0611447  10.00526845 ...  8.65787128  3.49754825
  7.36562557]",digestive_system,large_intestine,125,3.148221232,GDSC2
SW1463,"[ 7.58954052  2.90297011 10.24378669 ...  8.82790632  3.57111272
  7.93068897]",digestive_system,large_intestine,125,3.07717732,GDSC2
SW1417,"[ 7.37594267  2.83634314 10.80327827 ...  9.34171607  3.2979626
  7.52025309]",digestive_system,large_intestine,125,4.698339143999999,GDSC2
SW948,"[ 7.70998209  3.21268013 10.1707568  ...  9.2729011   3.52572582
  7.60789026]",digestive_system,large_intestine,125,3.042569904,GDSC2
SW1116,"[ 8.6912851   3.06791497 10.06411749 ...  8.52797745  3.35611906
  7.74880704]",digestive_system,large_intestine,125,3.919401768,GDSC2
NCI-H747,"[ 7.68400074  2.60593823 10.31585756 ...  9.30877339  3.41749385
  8.47162034]",digestive_system,large_intestine,124,3.003788346774194,GDSC2
KM12,"[ 6.86520875  2.81459014 10.48207238 ...  9.13948582  3.32544129
  6.0981355 ]",digestive_system,large_intestine,124,2.2507315241935486,GDSC2
NCI-H716,"[ 3.60712324  2.86648283 10.2467505  ...  8.98376924  3.14404541
  5.71861429]",digestive_system,large_intestine,124,2.772197274193548,GDSC2
SNU-175,[7.24550349 2.89836946 9.73732429 ... 9.71735692 3.70413999 6.55806494],digestive_system,large_intestine,124,2.0153673387096775,GDSC2
CL-11,[6.92137175 3.00083023 9.6012869  ... 8.74214255 3.34746856 6.66043392],digestive_system,large_intestine,124,3.792132362903226,GDSC2
LS-411N,[7.42525437 2.83108692 9.77842851 ... 9.11511746 3.31590176 7.00374334],digestive_system,large_intestine,124,2.6807505080645164,GDSC2
CL-40,[9.00699397 3.02817291 9.6867001  ... 9.41443514 3.11170297 6.7866351 ],,,124,2.734776572580645,
HCC2998,[6.94367047 2.82914445 9.72376964 ... 8.61020985 3.29717326 6.81757856],digestive_system,large_intestine,124,2.1035935322580643,GDSC2
COLO-205,"[ 7.06500493  2.71250449 10.3633371  ...  9.04003869  3.24337699
  7.28013244]",digestive_system,large_intestine,124,2.3751292258064516,GDSC2
HT55,[9.29531678 3.1439855  9.51213959 ... 8.88189578 3.62250257 8.00089508],digestive_system,large_intestine,124,2.465337733870968,GDSC2
COLO-678,"[ 8.0458538   2.8125308  10.63861384 ...  9.96427011  3.1153329
  8.80255531]",digestive_system,large_intestine,124,5.80126035483871,GDSC2
C2BBe1,"[ 9.64078768  2.85260115 11.16110144 ...  9.43782656  3.21356301
  7.35483149]",digestive_system,large_intestine,124,3.421791701612903,GDSC2
GP5d,[9.09667519 2.87889328 9.92563802 ... 9.34734281 3.07518755 7.53537114],digestive_system,large_intestine,124,2.0758089758064515,GDSC2
